OriginalID,Condition,n_MT,n_EdU,n_MT_EdU,n_Nuclei,Perc_CCR,Diff Index,AVG CCR,Perc_Proliferating_outside_MT,AVG Diff. Index,AVG Dividing,,SD CCR,SEM CCR
7d_A1C_C5 ,0.25%FCS,5,24,0,196,0,2.551,0,12.57,11.556,11.205,,0,0
7d_A1C_C6,0.25%FCS,30,17,0,287,0,10.453,,6.61,,,,,
7d_A1C_C7,0.25%FCS,35,38,0,339,0,10.324,,12.5,,,,,
7d_A1C_C8,0.25%FCS,40,40,0,305,0,13.115,,15.09,,,,,
7d_A1C_E5,0.25%FCS,30,22,0,303,0,9.901,,8.06,,,,,
7d_A1C_E6,0.25%FCS,52,26,1,359,0,14.485,,8.14,,,,,
7d_A1C_E7,0.25%FCS,46,27,0,216,0,21.296,,15.88,,,,,
7d_A1C_E8,0.25%FCS,32,30,0,310,0,10.323,,10.79,,,,,
7d_A1_E7,0.25%FCS + 1%O2,59,22,0,313,0,18.85,0,8.66,15.725125,7.4325,,0,0
7d_A1_E5,0.25%FCS + 1%O2,33,18,0,298,0,11.074,,6.79,,,,,
7d_A1_C5,0.25%FCS + 1%O2,61,33,0,385,0,8.571,,10.19,,,,,
7d_A1_C7,0.25%FCS + 1%O2,52,20,0,316,0,16.456,,7.58,,,,,
7d_A1_C6,0.25%FCS + 1%O2,90,21,0,450,0,20,,5.83,,,,,
7d_A1_E8,0.25%FCS + 1%O2,73,26,0,396,0,18.434,,8.05,,,,,
7d_A1_C8,0.25%FCS + 1%O2,77,11,0,410,0,18.78,,3.3,,,,,
7d_A1_E6,0.25%FCS + 1%O2,54,31,0,396,0,13.636,,9.06,,,,,
7d_A2C_C8,10%FCS,41,178,12,370,29.27,11.081,28.7425,50.46,12.78175,53.955,,13.74748782,4.860470932
7d_A2C_C5,10%FCS,17,111,6,212,35.29,8.019,,53.85,,,,,
7d_A2C_E6,10%FCS,48,180,15,352,31.25,13.636,,54.28,,,,,
7d_A2C_E5,10%FCS,34,159,6,348,17.65,9.77,,48.73,,,,,
7d_A2C_C7,10%FCS,49,197,27,360,55.1,13.611,,54.66,,,,,
7d_A2C_C6,10%FCS,66,187,13,368,19.7,17.935,,57.62,,,,,
7d_A2C_E8,10%FCS,62,217,6,419,9.68,14.797,,59.1,,,,,
7d_A2C_E7,10%FCS,50,187,16,373,32,13.405,,52.94,,,,,
7d_A2_C7,10%FCS + 1%O2,71,137,4,408,5.63,17.402,8.4775,39.47,21.067,46.48625,,7.936070906,2.805824777
7d_A2_C6,10%FCS + 1%O2,34,104,1,240,2.94,14.167,,50,,,,,
7d_A2_C8,10%FCS + 1%O2,90,132,9,370,10,24.324,,43.93,,,,,
7d_A2_C5,10%FCS + 1%O2,76,96,0,302,0,25.166,,42.48,,,,,
7d_A2_E8,10%FCS + 1%O2,48,148,11,367,22.92,13.079,,42.95,,,,,
7d_A2_E5,10%FCS + 1%O2,76,143,9,324,11.84,23.457,,54.03,,,,,
7d_A2_E6,10%FCS + 1%O2,92,136,0,377,0,24.403,,47.72,,,,,
7d_A2_E7,10%FCS + 1%O2,69,108,10,260,14.49,26.538,,51.31,,,,,
