OriginalID,n_MT,n_EdU,n_MT_EdU,n_Nuclei,Perc_CCR,Diff Index,AVG CCR,Perc_Proliferating,AVG Diff. Index,AVG Dividing,,SD CCR,SEM CCR
Plate5_D6 10%FCS + DMSO,25,177,2,1031,8,2.425,7.596666667,17.4,2.155,14.975,,5.4767606,1.936327279
Plate5_D5 10%FCS + DMSO,20,155,3,1064,15,1.88,,14.56,,,,,
Plate5_D3 10%FCS + DMSO,32,172,1,1199,3.13,2.669,,14.65,,,,,
Plate5_D7 10%FCS + DMSO,17,155,2,1102,11.76,1.543,,14.1,,,,,
Plate5_D4 10%FCS + DMSO,26,146,2,1110,7.69,2.342,,13.28,,,,,
Plate5_D2 10%FCS + DMSO,18,135,0,869,0,2.071,,15.86,,,,,
Plate5_B2 10%FCS + 5uM LY,25,97,3,961,12,2.601,6.618333333,10.04,2.871666667,12.475,,4.700201769,1.661772272
Plate5_B3 10%FCS + 5uM LY,35,128,2,1075,5.71,3.256,,12.12,,,,,
Plate5_B7 10%FCS + 5uM LY,21,136,0,1033,0,2.033,,13.44,,,,,
Plate5_B4 10%FCS + 5uM LY,28,135,2,1034,7.14,2.708,,13.22,,,,,
Plate5_B5 10%FCS + 5uM LY,31,143,1,1152,3.23,2.691,,12.67,,,,,
Plate5_B6 10%FCS + 5uM LY,43,145,5,1091,11.63,3.941,,13.36,,,,,
Plate5_C7 10%FCS + 10uM LY,52,118,2,1098,3.85,4.736,5.268333333,11.09,3.6625,11.47333333,,2.966677715,1.048878965
Plate5_C2 10%FCS + 10uM LY,15,98,0,943,0,1.591,,10.56,,,,,
Plate5_C5 10%FCS + 10uM LY,63,130,4,1207,6.35,5.22,,11.01,,,,,
Plate5_C6 10%FCS + 10uM LY,57,129,4,1129,7.02,5.049,,11.66,,,,,
Plate5_C3 10%FCS + 10uM LY,33,122,2,1114,6.06,2.962,,11.1,,,,,
Plate5_C4 10%FCS + 10uM LY,24,132,2,993,8.33,2.417,,13.42,,,,,
Plate5_E3 10%FCS,20,162,2,1005,10,1.99,13.62333333,16.24,1.805833333,16.52,,7.325507946,2.589958172
Plate5_E4 10%FCS,17,177,2,1017,11.76,1.672,,17.5,,,,,
Plate5_E2 10%FCS,8,164,2,927,25,0.863,,17.63,,,,,
Plate5_E7 10%FCS,17,129,2,956,11.76,1.778,,13.53,,,,,
Plate5_E6 10%FCS,24,176,1,1021,4.17,2.351,,17.55,,,,,
Plate5_E5 10%FCS,21,161,4,963,19.05,2.181,,16.67,,,,,
Plate5_C9 0.25%FCS,26,22,1,436,3.85,5.963,2.498333333,5.12,8.02,3.866666667,,2.978324473,1.052996716
Plate5_D8 0.25%FCS,23,11,0,365,0,6.301,,3.22,,,,,
Plate5_C8 0.25%FCS,45,13,0,421,0,10.689,,3.46,,,,,
Plate5_C10 0.25%FCS,40,12,0,414,0,9.662,,3.21,,,,,
Plate5_D9 0.25%FCS,25,16,1,303,4,8.251,,5.4,,,,,
Plate5_D10 0.25%FCS,28,12,2,386,7.14,7.254,,2.79,,,,,
